Hotel_name,name,rating,review
Veranda Hotel at Pakubuwono,Bella Rachma,4.0,"Anothet good hotel to stay in jakarta. Room was comfy, wifi was so soRooms: 5/5 | Service: 5/5 | Location: 3/5 …More"
Veranda Hotel at Pakubuwono,Unnikrishnan Palloor,2.0,Services were very poor. Not getting response from the reception most of the time. Two times I got plastic paper along with sausage. Reported to the food serving people. Other major issue is language. Few people only speak English. Airport pick up and air port drop also they promised while picking up from airport. But at the time of check out they refused give airport drop service. Moreover they charged 12 million for 9 nights quarantine no invoice given. I will never recommend this hotel to anybody.
Veranda Hotel at Pakubuwono,Kelvin,2.0,"Im stay for 1night. But ive got room not cleaned, the table, floor are very dusty. The glasses cup and toilet are wet and not cleaned well, when check in the reception staff are not very welcome. Its just bad experienceRooms: 1/5 | Service: 1/5 | Location: 2/5 …More"
Veranda Hotel at Pakubuwono,Leticia K,2.0,"Nicely designed and cozy atmosphere BUT cleanliness and service can definitely be improved. Found out from the housekeeping guy that he is in charge of cleaning ALL rooms within 2 floors ALONE. no wonder the rooms are dusty and doubt the bathroom has been cleaned thoroughly prior to our checkin, judging from the water stains. Another weird point is there is NO concierge service... how does it count as 4 star hotel? Any kind of package, day or night, can't be received by reception or security or anyone in the hotel so all courier have to wait for guests in the lobby although there is a separate concierge desk right on that lobby. Why bother having so many security personnel in the lobby then? Maybe the hotel is cutting cost for concierge service? but still, bad experience for 4 stars hotel, we've experienced better service from 2* Apartotel that costs 1/3 of what Veranda is charging. Such a disappointment and current management / service needs to be improved, else people also won't repeat stay here. Last but not least, still about service, it always took so long to deliver anything to your room. Often times, there's nobody picking up the Housekeeping or Room Service Line and it always take ~30mins to request for something, even as simple as tissue paper or new towels."
Veranda Hotel at Pakubuwono,Lucky Snack Official,3.0,"It seems like 3 star hotel. The facilities is so so. Breakfast was very simple and the taste was not good Maybe need some improvement for 4 star hotel standard. In front of the neighbour room, there is the dirty dishes that are not taken from the night before till the day after"
Veranda Hotel at Pakubuwono,IG: onaldtan,5.0,"If you are about to find a quiet place to stay around Gandaria, Pondok Indah, but didn't want to miss some attractions around Senayan and Blok M, choose this place. A cozy hotel with a good ambience and a fair cleanliness. The check in process was less than 5 mins. No deposit money needed. They are able to give you up to 3 access key card to your room. The lift was the touch less one and for going up, you'll need to tap the room key card that automatically brings you to your room. The room is spacious with 2 wooden chair, safety box, large TV, internet connection, panoramic window, and queen bed with 5 pillows. The amenities was ok, nothing to complaint. Go down to the lobby you'll find wylz kitchen for breakfast and all day dining place, a 1.2m deep swimming pool (til 8 pm using), and fitness center. Every morning the housekeeper will come and ask if you got any laundry to do. The only thing that comes to my concern was the pest control, found some ants around my sink and the use of mask for the housekeeper, they need to see it as a health protocol and hygiene. A pleasant stay anyway."
Veranda Hotel at Pakubuwono,muhammad iqbal,4.0,Breakfast is not good enough here but the view is great.
Veranda Hotel at Pakubuwono,Sutini Irsan,4.0,"The hotel was packed as there's a wedding celebration also the promotion room rates at Agoda. After 1,5 hour of waiting, finally we got the room key. The swimming pool, restaurant and lobby area were clean and has a cozy design. The deluxe room and it's amenities looks more like a standard room."
Veranda Hotel at Pakubuwono,Soraya Salsabila,3.0,"I've stayed at the veranda hotel 3 times. for the rooms are quite spacious and clean, the bathroom is also clean & the AC room is very cold. I always take the breakfast one, the breakfast is delicious but the menu variants are not much. But what I really lack is the cleanliness of the swimming pool, from above it looks fine. Tapi jika melihat ke dalam air, it's a lot of dirt and garbage. very disgusting, there are tissues, plastic, daun, debu. 3 times come here and swimming pool always dirty!!! disappointing"
Veranda Hotel at Pakubuwono,Adil Anselm,5.0,Love to stay here! Recommended place to stay in south Jakarta area. Staff are just excellent! Breakfast menu are awesome. Room is clean and tidy.
Veranda Hotel at Pakubuwono,Caroline Sunarko,5.0,Great for private party.. Wedding etc. Visited sumoji and love the food 😍
Veranda Hotel at Pakubuwono,ovi olivia,4.0,"I was stayed for a night. Actually I love the place, the paintings on the wall, the pool and the food for the breakfast were great. But for me, 4 starred hotel with bad WiFi is a big question. Except WiFi, all good.Rooms: 4/5 | Service: 4/5 | Location: 4/5 …More"
Veranda Hotel at Pakubuwono,ardi gunawan,5.0,"Cozy place for dinner, romantic, happy..Good food and good peoples inside"
Veranda Hotel at Pakubuwono,widya arsa,5.0,Just attending a wedding here...nice & cozy place
Veranda Hotel at Pakubuwono,Amir Hamzah,3.0,"Great accomodation for family stay or business occasions, seems after lock down which hit hotel industry pretty bad also affecting Veranda, you will find the condition is poor, the cleanliness drop due to fewer cleaning staff that they have now."
Veranda Hotel at Pakubuwono,Davin Manuel,3.0,It seems like 3 star hotel. The facilities and service wasn’t good enough for 4 star hotel The breakfast menu is so simple and the taste was so so There is the dirty dish that aren’t taken from the night till the day after
Veranda Hotel at Pakubuwono,Indra Prasetya,1.0,"This is my second time book & staying in veranda. The first one working out just fine, even though at the reception upon checkin seems unprofessional and empty. I have to wait approx. 30 minutes until i got to check in, idk if its the outdated checkin method or just the reception not up to its professionalism but it turn out fine (the rooms, cleanliness, service etc. are good). Fast forward to the second time, this is where i got dissapointed. Upon booking through apps, i decided to book veranda and it does not have the must test antigen policy upon checkin (i check more than twice) in the hotel room policy details when selecting rooms. At the arrival, again the reception and front office is empty, they hang out at the back office which is located in side of reception table this again show unprofessionalism. Then i talk to the receptionist, i was rejected because it has to present antigen test, i am confused coz it does not say that in the booking apps. Then i showd the hotel rooms page at the apps, is does not say that, but she scrolling and scrolling like she wants to find that will justified the rejection. It came to the point where she shows the hotel policy page which is hidden in the front page i believe it has to be an extra move cos how the heck do i or anybody else see that. Then again she ask me to do the test at the nearest clinic (really?) this is an insult. Not to mention that i alr vaccinated 2 times, she could consider that and tell the manager about this issue which is not my fault. I’d be happy to walk away if that happen."
Veranda Hotel at Pakubuwono,andi yani,5.0,Lovely hotel in busy n big cityRooms: 4/5 | Service: 4/5 | Location: 5/5 …More
Veranda Hotel at Pakubuwono,shafiq alhabshi,4.0,"Generally the overall experience at the hotel was good, I like the nice quiet ambiance and boutique like feel of the hotel. I find the rooms a little small but all the basic necessities are available. I also like the location which is secluded yet very close to the city and the sites that I needed to go. Would definitely consider to return to this hotel for my future visits as I frequent Jakarta pretty often."
Veranda Hotel at Pakubuwono,dean mardiansyah,4.0,"I promised u,this meal soo delicious...fried rice yummies,free parking ad spacySmall musholla,rest room at ballroom more clean than mushola...?? Are you kidding?"
Sutasoma Hotel,Maria Elsa,5.0,"I got the opportunity to stay at the Sutasoma Hotel on my vacation this year. The location is very strategic in South Jakarta. Breakfast was amazing with a variety of foods. The hotel is very comfortable and feels like home. The room is also clean and neat. Thanks to Amanda, who brought this memorable experience to me.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Sutasoma Hotel,Patrick Vespa,5.0,"Superb service from attentive staff. We stayed at Sutasoma for our 3 day quarantine in February 2022 and we were very impressed. Clean, delicious food, top amenities, great shower, and more. They really did an excellent job during our stay. Very happy customers."
Sutasoma Hotel,Melling Prasetya,4.0,all the staffs were so friendly and helpful. big buffet spreads for breakfast but nothing is really that tasty or good. very nicely located and MRT station is just across the street. the room also nice and clean during pandemic.Rooms: 4/5 | Service: 5/5 | Location: 5/5 …More
Sutasoma Hotel,Najwa Mazli,5.0,"Great experience in a new hotel in Jakarta selatan. Service was very very good, they ensure everything is perfect. My husband has mobility issues and we informed that he can’t climb stairs, the hotel set up a nice area for us to sit for breakfast at the cafe. The cafe has a wheelchair lift too. Clean room, good AC, delicious breakfast, nice size swimming pool. Minor critic would be the shower heads in our room tend to sprit water all over. As the hotel is quite new and inside the Tribrata area, grab drivers usually takes time to find the hotel. We received farewell card and goodies checking out."
Sutasoma Hotel,Kris Trimoeljo,5.0,"This hotel is new and still fresh.. the room is clean. It has fluffy pillows. I think as long as they can price it correctly, this hotel could be my first option in South JakartaRooms: 5/5 | Service: 4/5 | Location: 4/5 …More"
Sutasoma Hotel,Kemalasas,5.0,"I love this place!!!! It's huge, clean, and fancy. I love the interior of the hotel, it has a lot of spots for taking pictures. Breakfast is great many options of foods and beverages, and it's really really great that they served ice coffee too... swimming pool is small but clean. There's MRT Blok A Station around 500m from the hotel and also korean restaurant nearby. Great hospitality, the staff is very nice. I'll be back for sure."
Sutasoma Hotel,Deissy Yudia,5.0,Feeling amaze that could found such an elegant hotel not in the middle protocol area. Ambience so nice...for having a corporate gathering will be perfect..but for staycation and weekend getaway also would be niceRooms: 5/5 | Service: 5/5 | Location: 4/5 …More
Sutasoma Hotel,Andy Jonatan,4.0,"I am completely aware that it is outside hotels ability to ensure all it's guests to behave in a respectful way. However, having a what may appeared as a group of young women who loudly chatted the whole night up until the odd hours would certainly cause a great inconvenience to the other guests; in this case that would be me. Unfortunately, the loud conversation kept going, even after I have informed the reception at 4 in the morning. Staff members are super friendly, polite and welcoming. Check in was easy and location was easy to find. Ultra convenient, as it was a whizz away from blok A MRT station if you wish to travel from or between places. Blok M is only 1 station away, where food are abundance. Room is modern and clean. Smelled amazing throughout the hallway, room and the bathroom. The pool area can be accessed from the lobby. This is a nice area surrounded by leafy vegetations and water is always clean. The gym contained very basic hotel-graded equipment. Some of the machine is way old and passed its functioning time and urgently needed replacements. Breakfast is the highlight of this hotel. Selections are huge. From your a erage continentals, pastries and egg dish to the traditional Indoenesian bfasts. Who in the world would eat succulent beef rendang and flamed grilled chicken in the morning? But apparently they were served and worked well. Linda from Atman lounge was super friendly customer service. Never once forget to smile and patiently explaining some foreign dessert dish to try. Kudos for Linda's customer service. All, my experience stay at Sutasoma would be a 5 stars one if it would not bumped down a little by the disrespectful guests next door. Will I stay again in the future? Yes I will. AJ"
Sutasoma Hotel,Putri Habibie,5.0,It was one of my best stays in Jakarta. The location is very strategic and is only a few meters from the MRT station. I suggest staying at the Suite room and make sure to have the Bubur Sumsum for breakfast! Great value for money!Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Sutasoma Hotel,deti Deti,5.0,"The best service hotel I’ve ever been privileged enough to stay at. Gorgeous building, and it only gets more breathtaking when you walk in. The rooms were clean, very comfortable, and the staff was amazing since we had a wonderful experience at the Sutasoma Hotel, They all go above and beyond to make our stay comfortable and enjoyable Please give your staff awards! Especially for Amanda, janter, yuyun, posma, Ibu evie dan Pak leo, bravo for all of them. I have stayed at dozen of hotels in everywhere and This was on the top of the list of best stays/hotel experiences ever. Staff was very hospitable and there for every need of mine. The sevice was exceptional as well. Thank you! Definitely Will recommend to my colleagues, friends and family to stay at Sutasoma Hotel 👍"
Sutasoma Hotel,EDI Chen,5.0,"Here service is good! All staffs are friendly and hospitality, especially the Atman restaurant Linda!If okay I will choose Satusoma hotel again."
Sutasoma Hotel,Elmo Gwyn,5.0,"We are having a really pleasant stay at sutasoma, though they are a 3 stars hotel but seems they strive to gave the best service to the guest. My wife was having her birthday when we stay and they helped me to gave a complimentary cake and also a gift card to wishes my wife. The breakfast buffet also serve very good dishes. Thankyou for the pleasant stay, keep up the good work!"
Sutasoma Hotel,Yuwita Kartikasari,5.0,"Great, great, great service, food, venue, room. I came here for an employee gathering, the hall is quite big, the other one is bigger and use for wedding 💕Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Sutasoma Hotel,Citra Adhiguna LG,5.0,A 4 star that feels like a 5 star hotel. Excellent and prompt service. Nice interior. Comfy bed. Strategic location. Recommended for a staycation or business trip.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Sutasoma Hotel,Jamal Fathoni,5.0,"My overall experience at this accommodation was amazing! The staff were friendly, the room itself was exceeded my expectations! Their wifi was fast as well. Great for a staycation!"
Sutasoma Hotel,Mahansa Sinulingga,5.0,"Small, but nice and cozy. Love the Atman lounge for breakfast, even though with limited selection of food. Still can have a nice latte for breakfast.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Sutasoma Hotel,agung muktiono,5.0,"Best comfort 4 Star hotel in south Jakarta. Best service, great breakfast, vast rooms and nice swimming pool. Checked for favorite staycation.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Sutasoma Hotel,M. P. Budi Arisman,5.0,"Luxury hotel in South Jakarta with close access to Central Jakarta, nice room and delicious food. Recommended for business trip or just weekend getaway with fams.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Sutasoma Hotel,tri agustin,5.0,"I love the friendliness of all the staff from gatekeeper, banquet, and room service. I must give the highest appreciation to the chef for the meals, the menu selections were amazing so does the taste.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Sutasoma Hotel,N A,5.0,"Bed super comfortable, indonesian food is really delicious here, the choice is not much but the taste quite yummy for hotel food. Especially ketoprak."
Sutasoma Hotel,Dewi Tjendra,3.0,"the soundproof of the room is too bad, I could hear the conversation of a couple next to my room or banging sound from upstair room, as well as tv sound, cell phone, even sound from outside clearly. The food is good, but I found the utensils on the dining table are not clean enough. Unpleasant smell around the alcove by the window, like someone accidentally spilled some sweet beverage on the cushion."
Sutasoma Hotel,Zufira Putri,5.0,A very great hospitality service and good foods.Due to odd/even policy may lil bit effort changing transport to get inRooms: 5/5 | Service: 5/5 | Location: 3/5 …More
Sutasoma Hotel,Noel (nolfiiv),5.0,"Really happy I went with my intuition and tried this new hotel for my quarantine stay, even thought it only had 100 or so reviews. Almost all the other hotels have endless bad reviews about the quarantine feeling like prison. I got the single/deluxe room. Its just big enough and everything in the room is very new and clean. The bathroom is very modern and the furnishing is classy."
Sutasoma Hotel,Ardie Ramadhana,4.0,"7 of 10 points. It was nice experience. + Nice interior from lobby to the room + Very hygiene + Great pool and gym (if not crowded) + Great services from the staffs + Great flavor for breakfast + Near to MRT, Korean supermarket, and great choices for ordering online delivery for food - Noises heard from other rooms (i stayed at deluxe room) - Not have a great view in the room - No extra covid protocol - High price for 4 stars hotels"
Sutasoma Hotel,indah Chosar,5.0,"One of the inspiring hotels that I have ever visited. The staff were friendly and ready to help, the food was delicious, the rooms were clean and comfortable with nuances like on the island of Bali, and an excellent internet connection. thank you sutasoma🙏"
Sutasoma Hotel,Sofi Reksoyudo,4.0,"nice comfy strategic hotel next to The Tribrata as one of the famous ballroom for wedding parties. the hotel itself is new and very clean and neat. Breakfast and dinner were delicious, very fond of the pastries here! one of the best I think! so yummy! staf, security and waitress were all very friendly. Very near the Blok A MRT, The hotel is also near Blok M and Blok A so there are going to be plenty things you can do around the area"
Sutasoma Hotel,reza harahap,5.0,Santi Rosdina is the best she help fixed the problem when I’m not happy about the room. Thank you Santi. Looking forward to see you again!!!
Sutasoma Hotel,Riska Nur Putri,2.0,"The hotel ambience was perfect, the room was also amazing, but the receptionist’ service is REALLY BAD. I call them today to extend my stay in Sutasoma for 1 day and they said it’s okay and giving me rate for 700+ per night. I am okay with it and said I’ll complete the payment by 12.30 pm. 15 minutes later, they called me again to confirm if I want to extend again, and I said yes why they ask again? And they give me DIFFERENT RATES at 900+ per night because they said the demand is high and since I am not confirmed yet I have to follow the higher rates because THEIR DEMAND IS HIGH. It’s not making any sense and they are also not giving any solution why they’re saying A in 10 minutes later saying B."
Sutasoma Hotel,Павел Крылов,1.0,"I've been quarantined here. They took a lot of money from me, and they promised it on the card after my quarantine was over. more than 45 days have passed, I have not received my money. Every time they promise to return the money and do not return.Rooms: 4/5 | Service: 3/5 | Location: 3/5 …More"
Sutasoma Hotel,"VOVO , Adhiva Rochman",5.0,Service 9/10 Food 8.5/10 Hygiene 10/10 Park 7/10 Lift 8/10 Price 9/10 Promotion 9/10 Good workplace and place to stay
The Dharmawangsa Jakarta,The Reviewer,5.0,Lovely Hotel! Staff were attentive and the places was clean. All the facilities were up to date except for the bathroom which smelled like old rusty pipes. The hallways had a lovely smell of jasmine and lemongrass. The room was well planned and the balcony was a nice addition.
The Dharmawangsa Jakarta,Tama Zeinnya,4.0,"Was a pleasant overall experience during our stay, love the 1st class services and 5 stars food offers. A few tips for families who will stay, better to choose king size bed.. you'll get sofa inside :)Rooms: 3/5 | Service: 5/5 | Location: 5/5 …More"
The Dharmawangsa Jakarta,Tomi Satryatomo,5.0,"A very nice hotel, with excellent services as well as the F&B. Hardly can complain. I particularly like the nice smell along the alleyways and the peaceful ambience. Still one of the best five star hotels in Jakarta.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
The Dharmawangsa Jakarta,Mayuko Miyaki,5.0,"Spacious and comfort room, polite and nice staffs, fulfilling services.Restaurant clews were also kind. they take care of me every morning for explaining Indonesian foods and cooking it."
